"publication_ID","relatedItem_1_titleInfo_title","identifier_#text","state","year","volume","number","titleInfo_title"
"1296389890",,"bta_1296389890_TX_1962_036_002","TX","1962","036","002","Vol. 36, No. 2"
"1296389890",,"bta_1296389890_TX_1962_036_003","TX","1962","036","003","Vol. 36, No. 3"
"1296389890",,"bta_1296389890_TX_1962_036_004","TX","1962","036","004","Vol. 36, No. 4"
"1296389890",,"bta_1296389890_TX_1962_036_005","TX","1962","036","005","Vol. 36, No. 5"
"1296389890",,"bta_1296389890_TX_1963_037_001","TX","1963","037","001","Vol. 37, No. 1"
"1296389890",,"bta_1296389890_TX_1963_037_002","TX","1963","037","002","Vol. 37, No. 2"
"1296389890",,"bta_1296389890_TX_1953_027_001","TX","1953","027","001","Vol. 27, No. 1"
"1296389890",,"bta_1296389890_TX_1952_026_005","TX","1952","026","005","Vol. 26, No. 5"
"1296389890",,"bta_1296389890_TX_1952_026_004","TX","1952","026","004","Vol. 26, No. 4"
"1296389890",,"bta_1296389890_TX_1952_026_003","TX","1952","026","003","Vol. 26, No. 3"
"1296389890",,"bta_1296389890_TX_1952_026_002","TX","1952","026","002","Vol. 26, No. 2"
"1296389890",,"bta_1296389890_TX_1952_026_001","TX","1952","026","001","Vol. 26, No. 1"
"1296389890",,"bta_1296389890_TX_1951_025_004","TX","1951","025","004","Vol. 25, No. 4"
"1296389890",,"bta_1296389890_TX_1951_025_003","TX","1951","025","003","Vol. 25, No. 3"
"1296389890",,"bta_1296389890_TX_1951_025_002","TX","1951","025","002","Vol. 25, No. 2"
"1296389890",,"bta_1296389890_TX_1951_025_001","TX","1951","025","001","Vol. 25, No. 1"
"1296389890",,"bta_1296389890_TX_1963_037_003","TX","1963","037","003","Vol. 37, No. 3"
"1296389890",,"bta_1296389890_TX_1963_037_004","TX","1963","037","004","Vol. 37, No. 4"
"1296389890",,"bta_1296389890_TX_1963_037_005","TX","1963","037","005","Vol. 37, No. 5"
"1296389890",,"bta_1296389890_TX_1964_037_001","TX","1964","037","001","Vol. 37, No. 1"
"1296389890",,"bta_1296389890_TX_1964_037_002","TX","1964","037","002","Vol. 37, No. 2"
"1296389890",,"bta_1296389890_TX_1964_037_005","TX","1964","037","005","Vol. 37, No. 5"
"1296389890",,"bta_1296389890_TX_1964_037_006","TX","1964","037","006","Vol. 37, No. 6"
"1296389890",,"bta_1296389890_TX_1950_024_005","TX","1950","024","005","Vol. 24, No. 5"
"1296389890",,"bta_1296389890_TX_1950_024_004","TX","1950","024","004","Vol. 24, No. 4"
"1296389890",,"bta_1296389890_TX_1950_024_003","TX","1950","024","003","Vol. 24, No. 3"
"1296389890",,"bta_1296389890_TX_1950_024_002","TX","1950","024","002","Vol. 24, No. 2"
"1296389890",,"bta_1296389890_TX_1950_024_001","TX","1950","024","001","Vol. 24, No. 1"
"1296389890",,"bta_1296389890_TX_1964_038_002","TX","1964","038","002","Vol. 38, No. 2"
"1296389890",,"bta_1296389890_TX_1965_038_003","TX","1965","038","003","Vol. 38, No. 3"
"1296389890",,"bta_1296389890_TX_1949_023_005","TX","1949","023","005","Vol. 23, No. 5"
"1296389890",,"bta_1296389890_TX_1949_023_004","TX","1949","023","004","Vol. 23, No. 4"
"1296389890",,"bta_1296389890_TX_1949_023_003","TX","1949","023","003","Vol. 23, No. 3"
